Race,Year,Circuit,Driver,DriverNumber,Team,LapNumber,PositionBefore,PositionAfter,PositionChange,ValidLapsEvaluated,Compound,TyreLife,FreshTyre,TrackStatus,IsSafetyCarPit,IsYellowFlagPit,TotalRaceLaps,RaceProgress,Label,OvertakingDifficulty,PitLossSeconds,OvertakingDifficulty_Numeric,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife_Category,Compound_Numeric,EarlyRace,MidRace,LateRace,LapsToEnd,EstimatedStintLength,InTypicalPitWindow
Bahrain Grand Prix,2022,Sakhir,RIC,3,McLaren,18.0,18.0,19.2,1.1999999999999993,5,SOFT,1.0,True,1,False,False,57.0,0.3157894736842105,1.0,Easy,20.0,3,17.0,0,0,0,1,Fresh,1.0,1,0,0,39.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,RIC,3,McLaren,33.0,17.0,18.75,1.75,4,SOFT,16.0,True,1,False,False,57.0,0.5789473684210527,1.0,Easy,20.0,3,16.0,0,0,0,1,Good,1.0,0,1,0,24.0,16.0,1
Bahrain Grand Prix,2022,Sakhir,RIC,3,McLaren,34.0,17.0,18.6,1.6000000000000014,5,HARD,1.0,True,1,False,False,57.0,0.5964912280701754,1.0,Easy,20.0,3,16.0,0,0,0,1,Fresh,3.0,0,1,0,23.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,OCO,31,Alpine,14.0,8.0,10.5,2.5,4,SOFT,14.0,True,12,False,True,57.0,0.24561403508771928,0.0,Easy,20.0,3,7.0,0,0,1,0,Good,1.0,1,0,0,43.0,14.0,0
Bahrain Grand Prix,2022,Sakhir,OCO,31,Alpine,15.0,8.0,10.4,2.4000000000000004,5,MEDIUM,1.0,True,1,False,False,57.0,0.2631578947368421,0.0,Easy,20.0,3,7.0,0,0,1,0,Fresh,2.0,1,0,0,42.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,OCO,31,Alpine,30.0,9.0,12.0,3.0,4,MEDIUM,16.0,True,1,False,False,57.0,0.5263157894736842,0.0,Easy,20.0,3,8.0,0,0,1,0,Good,2.0,0,1,0,27.0,16.0,1
Bahrain Grand Prix,2022,Sakhir,OCO,31,Alpine,31.0,9.0,12.0,3.0,5,HARD,1.0,True,1,False,False,57.0,0.543859649122807,0.0,Easy,20.0,3,8.0,0,0,1,0,Fresh,3.0,0,1,0,26.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,NOR,4,McLaren,24.0,16.0,20.0,4.0,4,MEDIUM,24.0,True,1,False,False,57.0,0.42105263157894735,0.0,Easy,20.0,3,15.0,0,0,0,1,Good,2.0,0,1,0,33.0,24.0,1
Bahrain Grand Prix,2022,Sakhir,NOR,4,McLaren,25.0,17.0,20.0,3.0,5,HARD,1.0,True,1,False,False,57.0,0.43859649122807015,0.0,Easy,20.0,3,16.0,0,0,0,1,Fresh,3.0,0,1,0,32.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,HAM,44,Mercedes,11.0,5.0,8.0,3.0,4,SOFT,13.0,False,1,False,False,57.0,0.19298245614035087,0.0,Easy,20.0,3,4.0,0,0,0,0,Good,1.0,1,0,0,46.0,13.0,0
